in s,C1 in V,C2 in V,ARB0
-5.171288E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.171264E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.171240E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.171216E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.171192E-04,-1.46484E-02,-9.76562E-03,6.1817395E-06
-5.171168E-04,5.37109E-02,2.92969E-02,6.1817395E-06
-5.171144E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.171120E-04,3.41797E-02,4.88281E-02,6.1817395E-06
-5.171096E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.171072E-04,-3.41797E-02,-9.76562E-03,6.1817395E-06
-5.171048E-04,-1.46484E-02,-4.88281E-02,6.1817395E-06
-5.171024E-04,-4.88281E-03,4.88281E-02,6.1817395E-06
-5.171000E-04,-4.88281E-03,6.83594E-02,6.1817395E-06
-5.170976E-04,2.44141E-02,-6.83594E-02,6.1817395E-06
-5.170952E-04,-1.46484E-02,4.88281E-02,6.1817395E-06
-5.170928E-04,2.44141E-02,-6.83594E-02,6.1817395E-06
-5.170904E-04,1.46484E-02,-4.88281E-02,6.1817395E-06
-5.170880E-04,4.88281E-03,-2.92969E-02,6.1817395E-06
-5.170856E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.170832E-04,4.88281E-03,4.88281E-02,6.1817395E-06
-5.170808E-04,-1.46484E-02,-6.83594E-02,6.1817395E-06
-5.170784E-04,-2.44141E-02,9.76562E-03,6.1817395E-06
-5.170760E-04,2.44141E-02,9.76562E-03,6.1817395E-06
-5.170736E-04,-4.88281E-03,-6.83594E-02,6.1817395E-06
-5.170712E-04,4.88281E-03,1.07422E-01,6.1817395E-06
-5.170688E-04,-4.88281E-03,4.88281E-02,6.1817395E-06
-5.170664E-04,-1.46484E-02,2.92969E-02,6.1817395E-06
-5.170640E-04,-3.41797E-02,9.76562E-03,6.1817395E-06
-5.170616E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.170592E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.170568E-04,4.88281E-03,2.92969E-02,6.1817395E-06
-5.170544E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.170520E-04,-1.46484E-02,-4.88281E-02,6.1817395E-06
-5.170496E-04,4.39453E-02,4.88281E-02,6.1817395E-06
