time_s,vin
1.548160000000000099e-05,2.932850000000000179e+00
1.548239999999999935e-05,2.903550000000000075e+00
1.548320000000000111e-05,2.932850000000000179e+00
1.548399999999999947e-05,2.903550000000000075e+00
1.548480000000000123e-05,2.874260000000000037e+00
1.548559999999999959e-05,2.903550000000000075e+00
1.548640000000000135e-05,2.923090000000000188e+00
1.548719999999999971e-05,2.893790000000000084e+00
1.548800000000000147e-05,2.913320000000000132e+00
1.548879999999999983e-05,2.903550000000000075e+00
1.548960000000000159e-05,2.913320000000000132e+00
1.549039999999999995e-05,2.893790000000000084e+00
1.549119999999999832e-05,2.923090000000000188e+00
1.549200000000000007e-05,2.884020000000000028e+00
1.549279999999999844e-05,2.932850000000000179e+00
1.549360000000000019e-05,2.903550000000000075e+00
1.549439999999999856e-05,2.913320000000000132e+00
1.549520000000000031e-05,2.903550000000000075e+00
1.549599999999999868e-05,2.903550000000000075e+00
1.549680000000000043e-05,2.903550000000000075e+00
1.549759999999999880e-05,2.923090000000000188e+00
1.549840000000000055e-05,2.884020000000000028e+00
1.549919999999999892e-05,2.903550000000000075e+00
1.550000000000000068e-05,2.884020000000000028e+00
1.550079999999999904e-05,2.913320000000000132e+00
1.550160000000000080e-05,2.913320000000000132e+00
1.550239999999999916e-05,2.923090000000000188e+00
1.550320000000000092e-05,2.874260000000000037e+00
1.550399999999999928e-05,2.923090000000000188e+00
1.550480000000000104e-05,2.923090000000000188e+00
1.550559999999999940e-05,2.932850000000000179e+00
1.550640000000000116e-05,2.913320000000000132e+00
1.550719999999999952e-05,2.942619999999999791e+00
1.550800000000000128e-05,2.913320000000000132e+00
1.550879999999999964e-05,2.913320000000000132e+00
1.550960000000000140e-05,2.874260000000000037e+00
1.551039999999999976e-05,2.913320000000000132e+00
1.551120000000000152e-05,2.884020000000000028e+00
1.551199999999999988e-05,2.942619999999999791e+00
1.551280000000000164e-05,2.854729999999999990e+00
1.551360000000000000e-05,2.913320000000000132e+00
1.551439999999999837e-05,2.893790000000000084e+00
1.551520000000000012e-05,2.942619999999999791e+00
1.551599999999999849e-05,2.874260000000000037e+00
1.551680000000000024e-05,2.942619999999999791e+00
1.551759999999999861e-05,2.874260000000000037e+00
1.551840000000000036e-05,2.932850000000000179e+00
1.551919999999999873e-05,2.874260000000000037e+00
1.552000000000000048e-05,2.932850000000000179e+00
1.552079999999999885e-05,2.903550000000000075e+00
1.552160000000000060e-05,2.923090000000000188e+00
1.552239999999999897e-05,2.884020000000000028e+00
1.552320000000000072e-05,2.923090000000000188e+00
1.552399999999999909e-05,2.874260000000000037e+00
1.552480000000000084e-05,2.913320000000000132e+00
1.552559999999999921e-05,2.893790000000000084e+00
1.552640000000000096e-05,2.903550000000000075e+00
1.552719999999999933e-05,2.893790000000000084e+00
1.552800000000000108e-05,2.932850000000000179e+00
1.552879999999999945e-05,2.903550000000000075e+00
1.552960000000000120e-05,2.903550000000000075e+00
1.553039999999999957e-05,2.874260000000000037e+00
1.553120000000000132e-05,2.932850000000000179e+00
1.553199999999999969e-05,2.884020000000000028e+00
1.553280000000000145e-05,2.903550000000000075e+00
1.553359999999999981e-05,2.893790000000000084e+00
1.553440000000000157e-05,2.932850000000000179e+00
1.553519999999999993e-05,2.874260000000000037e+00
1.553600000000000169e-05,2.913320000000000132e+00
1.553680000000000005e-05,2.874260000000000037e+00
1.553759999999999842e-05,2.913320000000000132e+00
1.553840000000000017e-05,2.893790000000000084e+00
1.553919999999999854e-05,2.942619999999999791e+00
1.554000000000000029e-05,2.893790000000000084e+00
1.554079999999999866e-05,2.923090000000000188e+00
1.554160000000000041e-05,2.903550000000000075e+00
1.554239999999999878e-05,2.893790000000000084e+00
1.554320000000000053e-05,2.874260000000000037e+00
1.554399999999999890e-05,2.932850000000000179e+00
1.554480000000000065e-05,2.913320000000000132e+00
