time_s,h
4.633200000000347918e-05,6.988161489616667200e-03
4.633280000000348093e-05,-1.292317888572690199e-02
4.633360000000348269e-05,-1.659772613455710866e-02
4.633440000000347767e-05,1.851294447536579874e-02
4.633520000000347942e-05,-1.112100884106421300e-03
4.633600000000348117e-05,1.002944346431908218e-02
4.633680000000348293e-05,6.993845966803415373e-03
4.633760000000348468e-05,1.263414082106596378e-02
4.633840000000347966e-05,7.583498007067977428e-03
4.633920000000348141e-05,-1.230274794774479860e-02
4.634000000000348317e-05,-2.100867151107903980e-02
4.634080000000347815e-05,-1.349121270492764126e-02
4.634160000000347990e-05,2.636323045188327524e-02
4.634240000000348165e-05,7.568901549188092846e-03
4.634320000000348341e-05,4.669935661326840570e-03
4.634400000000348516e-05,2.547615614679279734e-03
4.634480000000348014e-05,-2.395317164143884181e-02
4.634560000000348189e-05,2.014156961987607214e-03
4.634640000000348365e-05,-4.064163652182572681e-03
4.634720000000347863e-05,-7.186747621797703010e-03
4.634800000000348038e-05,1.749641268926580007e-02
4.634880000000348214e-05,4.711739861565119973e-04
4.634960000000348389e-05,1.444364618906725413e-02
4.635040000000348564e-05,1.983276610633781176e-02
4.635120000000348062e-05,-4.742490617489993412e-03
4.635200000000348238e-05,2.240632994947426744e-03
4.635280000000348413e-05,-4.594682267017915697e-03
4.635360000000347911e-05,1.141334335483112916e-02
4.635440000000348086e-05,1.018963669024007361e-02
4.635520000000348262e-05,-1.084212855093077618e-02
4.635600000000348437e-05,1.367335478226885948e-02
4.635680000000348612e-05,-2.811795021042754958e-03
4.635760000000348110e-05,-8.371376474191540018e-03
4.635840000000348286e-05,-5.094772333639993253e-03
4.635920000000348461e-05,3.511795477560106325e-03
4.636000000000347959e-05,-1.898331409219652585e-02
4.636080000000348134e-05,-2.055196185645497258e-03
4.636160000000348310e-05,2.254436370061248262e-04
4.636240000000348485e-05,1.930851033523388674e-02
4.636320000000348661e-05,2.307023731126482766e-03
4.636400000000348158e-05,1.147770487515473083e-03
4.636480000000348334e-05,-8.723056278658906579e-03
4.636560000000348509e-05,-1.903189540275687305e-02
4.636640000000348007e-05,2.744760276852330292e-03
4.636720000000348182e-05,2.322581741707591477e-02
4.636800000000348358e-05,9.224538844660958373e-03
4.636880000000348533e-05,3.872897845196409967e-03
4.636960000000348709e-05,1.084258689236660723e-02
4.637040000000348206e-05,-1.215322426209930126e-02
4.637120000000348382e-05,-2.784245016887755813e-03
4.637200000000348557e-05,-1.370842739486365439e-02
4.637280000000348055e-05,1.808919741966838815e-02
4.637360000000348230e-05,-1.112848451980874911e-02
4.637440000000348406e-05,2.196007923972295196e-03
4.637520000000348581e-05,2.051972771876765106e-02
4.637600000000348757e-05,3.652670227890530454e-03
4.637680000000348254e-05,6.850209940441332780e-03
4.637760000000348430e-05,1.144171191995101491e-02
4.637840000000348605e-05,-6.011834041994948939e-03
4.637920000000348103e-05,6.807712924268824288e-03
4.638000000000348279e-05,1.336489834034380875e-02
4.638080000000348454e-05,-1.477982535785665567e-02
4.638160000000348629e-05,-1.971207693692095253e-02
4.638240000000348805e-05,-1.039163750110327911e-02
4.638320000000348303e-05,1.112855166311682228e-02
4.638400000000348478e-05,-5.262212934309897297e-03
4.638480000000348653e-05,3.191701083724464341e-03
4.638560000000348151e-05,1.861270932302918398e-03
4.638640000000348327e-05,-5.876779088390921696e-03
4.638720000000348502e-05,2.704531794501767797e-03
4.638800000000348677e-05,-1.868162070075487721e-02
4.638880000000348853e-05,1.047435283931783846e-02
4.638960000000348351e-05,1.690241258653419829e-02
4.639040000000348526e-05,-3.072362017749972422e-03
4.639120000000348701e-05,-5.040775064152956328e-03
4.639200000000348199e-05,-4.433058681539964576e-04
4.639280000000348375e-05,-1.237653758161830035e-02
4.639360000000348550e-05,-4.217632214018849322e-03
4.639440000000348726e-05,-3.475279608615965132e-02
4.639520000000348901e-05,-9.651343448203317937e-03
4.639600000000348399e-05,7.421175244324102090e-03
4.639680000000348574e-05,4.947668404917312905e-03
4.639760000000348750e-05,8.667142211630491852e-03
4.639840000000348247e-05,4.876302258463366922e-03
4.639920000000348423e-05,-3.314104531010033522e-02
4.640000000000348598e-05,-8.094252920911444021e-03
4.640080000000348774e-05,-4.385313064909004445e-03
4.640160000000348949e-05,1.014623804842666212e-02
4.640240000000348447e-05,-1.123413274072651569e-02
4.640320000000348622e-05,2.527643599614737193e-03
4.640400000000348798e-05,-1.306907676088569017e-02
4.640480000000348295e-05,-4.190823042529795428e-03
4.640560000000348471e-05,8.645296752789089975e-03
4.640640000000348646e-05,1.197306019940531235e-02
4.640720000000348822e-05,8.172813223586245998e-03
4.640800000000348997e-05,-1.483096489590703636e-02
4.640880000000348495e-05,-1.047357072473072137e-02
4.640960000000348670e-05,2.971119872698141980e-03
4.641040000000348846e-05,-6.001176946491951214e-03
4.641120000000348344e-05,-6.995133516940667089e-03
4.641200000000348519e-05,5.912058147132614669e-03
4.641280000000348694e-05,-2.562852478601442344e-03
4.641360000000348870e-05,-4.352800000985921833e-03
4.641440000000349045e-05,3.714632892508837932e-03
4.641520000000348543e-05,-3.898640480987796558e-03
4.641600000000348718e-05,-9.985985022419447549e-03
4.641680000000348894e-05,1.117460124201719550e-02
4.641760000000348392e-05,6.931034507708314606e-03
4.641840000000348567e-05,-1.868426699488428752e-02
4.641920000000348742e-05,2.840912246752389046e-03
4.642000000000348918e-05,-2.936568135495004617e-03
4.642080000000349093e-05,-8.897378531506235783e-03
4.642160000000348591e-05,1.630566446451872176e-03
4.642240000000348766e-05,-1.904349785872120259e-03
4.642320000000348942e-05,-7.893381654289641225e-03
4.642400000000348440e-05,9.681012900842341602e-04
4.642480000000348615e-05,2.068532230360849503e-02
4.642560000000348791e-05,-4.274937926348673471e-03
4.642640000000348966e-05,-2.056872309664270308e-03
4.642720000000349141e-05,-6.368747923003473255e-03
4.642800000000348639e-05,-1.131139384004436164e-02
4.642880000000348815e-05,-3.686340838848185114e-02
4.642960000000348990e-05,-7.556099970019841130e-05
4.643040000000348488e-05,-1.668483166190654760e-02
4.643120000000348663e-05,-1.297387366746900056e-02
4.643200000000348839e-05,2.404103877690321345e-03
4.643280000000349014e-05,8.812491087343188659e-03
4.643360000000349189e-05,-3.169804042105621965e-03
4.643440000000348687e-05,7.659536424533105493e-03
4.643520000000348863e-05,2.253777444648170925e-03
4.643600000000349038e-05,-1.144074912580936645e-02
4.643680000000348536e-05,2.940501392384424310e-03
